what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1433634872765
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1433634875710
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1433634886621
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433634888443
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433634891786
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433634891961
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433634893560
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433634894944
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433634896309
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433634896799
activated,view,org.eclipse.jdt.junit,3.5.0.v20090526-2000,"org.eclipse.jdt.junit.ResultView",1433634896809
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433634914785
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433634931022
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1433634933514
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1433634934104
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1433634934532
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.delete.line",1433634936955
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1433634937362
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433634939934
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433635003557
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433635004964
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433635006215
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433635006529
activated,view,org.eclipse.jdt.junit,3.5.0.v20090526-2000,"org.eclipse.jdt.junit.ResultView",1433635006541
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433635021965
