what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1440441529315
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1440441533558
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1440441535215
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1440441535463
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1440441536439
